ngc_bmu_id,2016,2017,2018,2019,2020
TULWW-1,0.0,0.0,0.0,69900.53,71322.864
TULWW-2,102680.79,100990.21399999999,100799.466,94018.59,95231.592
USKM-13,454994.4,76615.6,0.4,0.0,0.0
USKM-14,359058.4,50424.2,0.0,0.0,0.0
USKM-15,0.0,0.8,0.4,508.416,0.0
WBUGT-1,373.432,164.708,209.272,153.148,231.48
WBUGT-4,339.972,289.88,191.96,166.032,224.576
WBUPS-1,1184849.118,804602.982,1039623.974,579260.64,797192.734
WBUPS-2,709496.21,1423666.36,1083227.59,489183.23,676906.35
WBUPS-3,374028.37,628875.67,860245.57,181462.48,287783.23
WBUPS-4,259080.11,699753.86,715488.4,397818.504,710167.834
WBURB-1,3412253.94,4784600.798,4248272.69,4179245.926,3320225.832
WBURB-2,3285402.46,4485866.16,4362858.86,4509171.4,2650245.42
WBURB-3,4042049.72,3929605.382,4509106.754,3731746.188,3785342.334
WDNSO-1,1481199.916,1681966.84,1549449.332,1516412.986,1670782.504
WDNSO-2,1429917.508,1599087.182,1452332.97,1467790.53,1594286.896
WHIHW-1,0.0,0.0,0.0,188232.546,201735.842
WHILW-1,899602.05,1031654.0,1182245.49,1153530.26,1101684.39
WHILW-2,568804.272,574340.278,656634.394,638690.354,658479.61
WLNYO-2,1020563.502,1598147.57,1439868.308,1525665.418,1508376.002
WLNYO-3,0.0,323384.332,2487479.998,2789203.376,2855488.434
WLNYO-4,0.0,0.066,1786502.736,2624407.566,2181718.642
WLNYW-1,1212042.748,1401498.666,1217166.504,1247539.556,1329573.086
WTMSO-1,1661921.95,1834894.012,1746317.078,1752546.228,1904411.46
WYLF-1,0.0,0.0,0.0,27.602,0.0
WYLF-2,0.0,0.0,0.0,32.362,0.0
WYLF-3,0.0,0.0,18.218,0.0,0.0
WYLF-4,0.0,0.0,50.746,0.0,0.0
